method,prefix_bits,dyadic_terms,length,gain,gain_error,normalized_residual_rms
pao,,,1,0.9636914668788092,-0.036308533121190756,0.02796573460673165
pao-alpha,,,1,1.0011834529212649,0.0011834529212648714,0.029751283965391583
bpla-float,2,,1,1.0001223271794044,0.0001223271794044134,0.002723683413383726
bpla-dyadic,2,2,1,1.0001223271794044,0.0001223271794044134,0.002723683413383726
bpla-float,4,,1,0.9999955701904114,-4.4298095885908495e-06,0.00016990411651915033
bpla-dyadic,4,2,1,1.0000040845037326,4.0845037325709654e-06,0.0003213883305715087
pao,,,4,0.9610636642515227,-0.038936335748477324,0.030077937800474252
pao-alpha,,,4,0.9987992522013344,-0.0012007477986656356,0.03232568140024196
bpla-float,2,,4,0.9999556558705307,-4.434412946929811e-05,0.0029279867615033942
bpla-dyadic,2,2,4,0.9999556558705307,-4.434412946929811e-05,0.0029279867615033942
bpla-float,4,,4,1.0000002708413582,2.708413582297453e-07,0.00017653045019346982
bpla-dyadic,4,2,4,0.9999958849311031,-4.1150688968594196e-06,0.0003529842508333606
pao,,,16,0.9624300589181627,-0.03756994108183731,0.028965766827122826
pao-alpha,,,16,1.0007106769374123,0.0007106769374123356,0.03107300884698989
bpla-float,2,,16,0.999921564029628,-7.84359703720483e-05,0.002922561674653705
bpla-dyadic,2,2,16,0.999921564029628,-7.84359703720483e-05,0.002922561674653705
bpla-float,4,,16,1.0000070142089263,7.014208926348076e-06,0.00017731338820786393
bpla-dyadic,4,2,16,1.0000061549769017,6.1549769017066325e-06,0.0003557649841061864
pao,,,64,0.9610462897369543,-0.03895371026304573,0.029069720004802478
pao-alpha,,,64,0.9990327512528031,-0.0009672487471968916,0.030841946619956647
bpla-float,2,,64,0.9999491618468912,-5.083815310880091e-05,0.0028379492285172925
bpla-dyadic,2,2,64,0.9999491618468912,-5.083815310880091e-05,0.0028379492285172925
bpla-float,4,,64,0.9999997763088173,-2.236911826880572e-07,0.00017438619986111361
bpla-dyadic,4,2,64,1.0000084256798683,8.425679868251379e-06,0.00034826664036367774
pao,,,256,0.9622344798835398,-0.03776552011646017,0.028961589409673014
pao-alpha,,,256,1.0004011030540176,0.00040110305401763746,0.031138679764021893
bpla-float,2,,256,0.9999757954129024,-2.420458709762041e-05,0.0028436232029679263
bpla-dyadic,2,2,256,0.9999757954129024,-2.420458709762041e-05,0.0028436232029679263
bpla-float,4,,256,0.9999942743994109,-5.7256005890904405e-06,0.00017792455481513693
bpla-dyadic,4,2,256,0.9999941427609333,-5.857239066653364e-06,0.0003388410783692035
pao,,,768,0.962366983577714,-0.037633016422286,0.029159466352020602
pao-alpha,,,768,1.000493284706253,0.0004932847062530943,0.031115048795636303
bpla-float,2,,768,0.9999073664764091,-9.263352359090149e-05,0.002843998764310102
bpla-dyadic,2,2,768,0.9999073664764091,-9.263352359090149e-05,0.002843998764310102
bpla-float,4,,768,1.0000001740457318,1.7404573182666638e-07,0.00018053165024870741
bpla-dyadic,4,2,768,1.000004221316824,4.221316824093435e-06,0.0003425658663750185
pao,,,3072,0.9620305092824271,-0.03796949071757294,0.029070627173618017
pao-alpha,,,3072,1.0001063206480085,0.0001063206480085288,0.031032815043994008
bpla-float,2,,3072,0.9999856897618968,-1.4310238103165673e-05,0.002915033151253876
bpla-dyadic,2,2,3072,0.9999856897618968,-1.4310238103165673e-05,0.002915033151253876
bpla-float,4,,3072,0.9999989278578774,-1.0721421226378425e-06,0.0001799411845493822
bpla-dyadic,4,2,3072,1.0000014685841123,1.4685841123185384e-06,0.0003508553782204104
