method,prefix_bits,dyadic_terms,distribution,mae,rmse,mean_relative_error,p99_abs_relative_error,max_abs_relative_error,coefficient_entries,coefficient_bits,shift_add_terms_per_product,int_adds_per_product,fp_mults_per_product
pao,,,uniform,0.37402769923210144,0.6350265145301819,-0.039611246436834335,0.1048770546913147,0.11107463389635086,0,0,0,2,0
pao-alpha,,,uniform,0.25615113973617554,0.40402281284332275,0.006602964363992214,0.06477448344230652,0.06939691305160522,0,0,0,4,0
bpla-float,1,,uniform,0.07701223343610764,0.1427258998155594,-0.00012513254478108138,0.03692224249243736,0.061686549335718155,2,64,0,1,2
bpla-dyadic,1,1,uniform,0.11086813360452652,0.19020767509937286,-0.00353884301148355,0.06624309718608856,0.10952877998352051,2,12,2,1,0
bpla-dyadic,1,2,uniform,0.07701223343610764,0.1427258998155594,-0.00012513254478108138,0.03692224249243736,0.061686549335718155,2,24,4,1,0
bpla-dyadic,1,3,uniform,0.07701223343610764,0.1427258998155594,-0.00012513254478108138,0.03692224249243736,0.061686549335718155,2,36,6,1,0
bpla-dyadic,1,4,uniform,0.07701223343610764,0.1427258998155594,-0.00012513254478108138,0.03692224249243736,0.061686549335718155,2,48,8,1,0
bpla-float,2,,uniform,0.019228218123316765,0.03566997870802879,-2.3357295049208915e-06,0.008738627657294273,0.015259653329849243,4,128,0,1,2
bpla-dyadic,2,1,uniform,0.04936949163675308,0.09532191604375839,-0.0010033997241407633,0.024203186854720116,0.03955012187361717,4,24,2,1,0
bpla-dyadic,2,2,uniform,0.019228218123316765,0.03566997870802879,-2.3357295049208915e-06,0.008738627657294273,0.015259653329849243,4,48,4,1,0
bpla-dyadic,2,3,uniform,0.019228218123316765,0.03566997870802879,-2.3357295049208915e-06,0.008738627657294273,0.015259653329849243,4,72,6,1,0
bpla-dyadic,2,4,uniform,0.019228218123316765,0.03566997870802879,-2.3357295049208915e-06,0.008738627657294273,0.015259653329849243,4,96,8,1,0
bpla-float,3,,uniform,0.004821822512894869,0.00892120786011219,4.918352374261303e-07,0.0021321712993085384,0.003734419122338295,8,256,0,1,2
bpla-dyadic,3,1,uniform,0.02338038757443428,0.04173107445240021,-6.388141628121957e-05,0.013121253810822964,0.020240556448698044,8,48,2,1,0
bpla-dyadic,3,2,uniform,0.005847416818141937,0.010433717630803585,8.129147204272158e-07,0.0028826603665947914,0.005808380898088217,8,96,4,1,0
bpla-dyadic,3,3,uniform,0.004821822512894869,0.00892120786011219,4.918352374261303e-07,0.0021321712993085384,0.003734419122338295,8,144,6,1,0
bpla-dyadic,3,4,uniform,0.004821822512894869,0.00892120786011219,4.918352374261303e-07,0.0021321712993085384,0.003734419122338295,8,192,8,1,0
bpla-float,4,,uniform,0.0012017787666991353,0.0022248036693781614,2.071495686095659e-07,0.0005321037606336176,0.0009045293554663658,16,512,0,1,2
bpla-dyadic,4,1,uniform,0.019338054582476616,0.03805343061685562,-0.00017392836161889136,0.014953631907701492,0.034046683460474014,16,96,2,1,0
bpla-dyadic,4,2,uniform,0.0021879880223423243,0.004264736548066139,-3.0360104119608877e-07,0.0011197800049558282,0.0022578598000109196,16,192,4,1,0
bpla-dyadic,4,3,uniform,0.0012017787666991353,0.0022248036693781614,2.071495686095659e-07,0.0005321037606336176,0.0009045293554663658,16,288,6,1,0
bpla-dyadic,4,4,uniform,0.0012017787666991353,0.0022248036693781614,2.071495686095659e-07,0.0005321037606336176,0.0009045293554663658,16,384,8,1,0
bpla-float,5,,uniform,0.0003007110208272934,0.0005563573213294148,1.1529753862760117e-07,0.00013393847621046007,0.00023134538787417114,32,1024,0,1,2
bpla-dyadic,5,1,uniform,0.01841501146554947,0.038057658821344376,-0.00015591034025419503,0.013969425112009048,0.026393501088023186,32,192,2,1,0
bpla-dyadic,5,2,uniform,0.0009486672934144735,0.0018327387515455484,2.9168202786422626e-07,0.0006096313009038568,0.0013533284654840827,32,384,4,1,0
bpla-dyadic,5,3,uniform,0.0003315502835903317,0.0006023283349350095,1.3114508590206242e-07,0.00015680547221563756,0.0003426338662393391,32,576,6,1,0
bpla-dyadic,5,4,uniform,0.0003007110208272934,0.0005563573213294148,1.1529753862760117e-07,0.00013393847621046007,0.00023134538787417114,32,768,8,1,0
bpla-float,6,,uniform,7.500415813410655e-05,0.00013886671513319016,-1.7210501468412076e-08,3.320704854559153e-05,5.650743696605787e-05,64,2048,0,1,2
bpla-dyadic,6,1,uniform,0.017930753529071808,0.03695063665509224,-0.00018751098832581192,0.014232996851205826,0.0300658717751503,64,384,2,1,0
bpla-dyadic,6,2,uniform,0.0006287216092459857,0.0014190294314175844,-1.5410877551857993e-07,0.000601871928665787,0.002119114389643073,64,768,4,1,0
bpla-dyadic,6,3,uniform,0.00010838310845429078,0.0002097018586937338,-1.7809453467521053e-08,5.647502257488668e-05,0.00012944612535648048,64,1152,6,1,0
bpla-dyadic,6,4,uniform,7.500415813410655e-05,0.00013886671513319016,-1.7210501468412076e-08,3.320704854559153e-05,5.650743696605787e-05,64,1536,8,1,0
pao,,,log-uniform,20.592042922973633,140.4958038330078,-0.03818048536777496,0.10483988374471664,0.11108105629682541,0,0,0,2,0
pao-alpha,,,log-uniform,13.597978591918945,88.64061737060547,-0.001480076345615089,0.07169673591852188,0.07819761335849762,0,0,0,4,0
bpla-float,1,,log-uniform,3.996809959411621,28.317646026611328,-0.0004923302331008017,0.03747734799981117,0.06218375265598297,2,64,0,1,2
bpla-dyadic,1,1,log-uniform,8.404094696044922,67.12034606933594,-0.006732115522027016,0.07397591322660446,0.1108412817120552,2,12,2,1,0
bpla-dyadic,1,2,log-uniform,3.996809959411621,28.317646026611328,-0.0004923302331008017,0.03747734799981117,0.06218375265598297,2,24,4,1,0
bpla-dyadic,1,3,log-uniform,3.996809959411621,28.317646026611328,-0.0004923302331008017,0.03747734799981117,0.06218375265598297,2,36,6,1,0
bpla-dyadic,1,4,log-uniform,3.996809959411621,28.317646026611328,-0.0004923302331008017,0.03747734799981117,0.06218375265598297,2,48,8,1,0
bpla-float,2,,log-uniform,1.0073142051696777,7.175217151641846,-3.179286795784719e-05,0.008724499493837357,0.015482821501791477,4,128,0,1,2
bpla-dyadic,2,1,log-uniform,2.881683111190796,22.12407684326172,-0.0006615750025957823,0.02344636805355549,0.03944443538784981,4,24,2,1,0
bpla-dyadic,2,2,log-uniform,1.0073142051696777,7.175217151641846,-3.179286795784719e-05,0.008724499493837357,0.015482821501791477,4,48,4,1,0
bpla-dyadic,2,3,log-uniform,1.0073142051696777,7.175217151641846,-3.179286795784719e-05,0.008724499493837357,0.015482821501791477,4,72,6,1,0
bpla-dyadic,2,4,log-uniform,1.0073142051696777,7.175217151641846,-3.179286795784719e-05,0.008724499493837357,0.015482821501791477,4,96,8,1,0
bpla-float,3,,log-uniform,0.2506348192691803,1.7884043455123901,-2.8906740681122756e-06,0.002118542091920972,0.003839236218482256,8,256,0,1,2
bpla-dyadic,3,1,log-uniform,1.7625739574432373,14.907983779907227,-2.8593063689186238e-05,0.014143661595880985,0.02031050994992256,8,48,2,1,0
bpla-dyadic,3,2,log-uniform,0.3621155321598053,2.8090922832489014,-2.9853099476895295e-06,0.003052324056625366,0.005875067785382271,8,96,4,1,0
bpla-dyadic,3,3,log-uniform,0.2506348192691803,1.7884043455123901,-2.8906740681122756e-06,0.002118542091920972,0.003839236218482256,8,144,6,1,0
bpla-dyadic,3,4,log-uniform,0.2506348192691803,1.7884043455123901,-2.8906740681122756e-06,0.002118542091920972,0.003839236218482256,8,192,8,1,0
bpla-float,4,,log-uniform,0.06275366991758347,0.4430224299430847,-1.1537962762986353e-07,0.0005264582578092813,0.0009441340225748718,16,512,0,1,2
bpla-dyadic,4,1,log-uniform,1.6321343183517456,16.196979522705078,-0.00020319772011134773,0.016812067478895187,0.033627454191446304,16,96,2,1,0
bpla-dyadic,4,2,log-uniform,0.1323583424091339,1.0717803239822388,-6.606389320040762e-07,0.001101963222026825,0.0022381539456546307,16,192,4,1,0
bpla-dyadic,4,3,log-uniform,0.06275366991758347,0.4430224299430847,-1.1537962762986353e-07,0.0005264582578092813,0.0009441340225748718,16,288,6,1,0
bpla-dyadic,4,4,log-uniform,0.06275366991758347,0.4430224299430847,-1.1537962762986353e-07,0.0005264582578092813,0.0009441340225748718,16,384,8,1,0
bpla-float,5,,log-uniform,0.01558905839920044,0.11039166152477264,-5.336610087169902e-08,0.00013188511366024613,0.00023286917712539434,32,1024,0,1,2
bpla-dyadic,5,1,log-uniform,1.5091958045959473,14.723553657531738,-0.00010849244426935911,0.0150900362059474,0.026730945333838463,32,192,2,1,0
bpla-dyadic,5,2,log-uniform,0.06471967697143555,0.5801107287406921,9.318758031895413e-08,0.0006522964686155319,0.0013477234169840813,32,384,4,1,0
bpla-dyadic,5,3,log-uniform,0.018918519839644432,0.1430719494819641,-7.768797161133989e-08,0.00016291445353999734,0.000334060110617429,32,576,6,1,0
bpla-dyadic,5,4,log-uniform,0.01558905839920044,0.11039166152477264,-5.336610087169902e-08,0.00013188511366024613,0.00023286917712539434,32,768,8,1,0
bpla-float,6,,log-uniform,0.0038923011161386967,0.027777135372161865,1.4039015283628942e-08,3.2948973966995254e-05,5.732164208893664e-05,64,2048,0,1,2
